Flow Hash,Source IP,Destination IP,Number of Packets,Number of Packets (Scaled to 1000000),Source Port,Destination Port,Average Packet Size,Minimum Packet Size,Maximum Packet Size,Total Bytes,IAT Min,IAT Max,IAT Mean,Label
4670110958731871667,37.60.229.253,185.46.197.79,13,1.3e-05,0.0003356984817273213,0.6771953917753872,0.13615384615384615,0.044,0.6946666666666667,1.77e-05,0.0011907458305358888,0.03915465275446574,0.00919406444598467,malicious
-8406774198121315804,37.60.229.253,79.225.178.215,385,0.000385,0.015152208743419547,0.6041962310215915,0.06538181818181818,0.044,0.09933333333333333,0.00025172,0.0037325382232666015,102.51369401216508,49.67986847783582,n/a
7520537438998527897,79.225.178.215,37.60.229.253,1338,0.001338,0.6041962310215915,0.015152208743419547,0.0638355754857997,0.04,0.41133333333333333,0.00085412,1.86006228129069e-05,202.00360883076985,95.55310736870562,n/a
2415235368741761133,37.60.229.253,185.46.197.79,12,1.2e-05,0.0003356984817273213,0.6772869459067674,0.14383333333333334,0.044,0.6946666666666667,1.726e-05,0.0016562541325887044,0.07114982604980469,0.015178528759214613,malicious
6324577084661341054,190.2.22.129,37.60.229.253,16,1.6e-05,0.5488975356679637,0.0003356984817273213,0.10466666666666667,0.044,0.8226666666666667,1.6746666666666667e-05,0.004088759422302246,0.09241872628529867,0.03107318505644798,malicious
8773470013750874417,37.60.229.253,190.2.22.129,12,1.2e-05,0.0003356984817273213,0.5488975356679637,0.08872222222222223,0.044,0.42,1.0646666666666668e-05,0.00427027940750122,0.08832931121190389,0.027268233233027985,malicious
-8918634505554143901,5.255.98.143,37.60.229.253,16,1.6e-05,0.5930571450370031,0.0003356984817273213,0.10433333333333333,0.044,0.8226666666666667,1.6693333333333335e-05,0.00018737316131591796,0.1300158898035685,0.030648352205753328,malicious
-4524661862949436321,37.60.229.253,5.255.98.143,12,1.2e-05,0.0003356984817273213,0.5930571450370031,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.0007590651512145996,0.12983938455581664,0.027364156312412687,malicious
6099706132401212824,221.138.79.55,37.60.229.253,24,2.4e-05,0.529732204165713,0.0003356984817273213,0.12455555555555556,0.044,0.8226666666666667,2.9893333333333334e-05,0.004682072003682454,5.642954504489898,2.8096740288866893,malicious
2582679343591239236,37.60.229.253,221.138.79.55,12,1.2e-05,0.0003356984817273213,0.529732204165713,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.0047139286994934086,0.06848462025324503,0.021574099196328057,malicious
-450380634108338127,80.94.92.55,37.60.229.253,196,0.000196,0.8925307087815672,0.0003356984817273213,0.09798639455782313,0.044,0.7373333333333333,0.00019205333333333335,0.00037984450658162436,21.58137244383494,11.18102664813704,malicious
-816434179858558958,37.60.229.253,80.94.92.55,12,1.2e-05,0.0003356984817273213,0.8925307087815672,0.18116666666666667,0.044,0.8413333333333334,2.174e-05,0.0005679766337076823,0.055504818757375084,0.012331869535975986,malicious
-699548065876857069,37.60.229.253,216.87.32.137,13,1.3e-05,0.0003356984817273213,0.4413214312962539,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.0014719049135843913,0.08416248559951782,0.01765365203221639,malicious
